race,award,winner,movie,birthplace,sexual_orientation,years_since_award,age_at_award
1,Best Supporting Actor,Timothy Hutton,Oridnary People,1,straight,39,21
1,Best Supporting Actor,John Gielgud,Arthur,0,homosexual,38,78
0,Best Supporting Actor,"Lou Gossett, Jr.",An Officer and a Gentleman,1,straight,37,47
1,Best Supporting Actor,Jack Nicholson,Terms of Endearment,1,straight,36,47
0,Best Supporting Actor,Haing S. Ngor,The Killing Fields,0,straight,35,45
1,Best Supporting Actor,Don Ameche,Cocoon,1,straight,34,82
1,Best Supporting Actor,Michael Caine,Hannah and Her Sisters,0,straight,33,54
1,Best Supporting Actor,Sean Connery,The Untouchables,0,straight,32,58
1,Best Supporting Actor,Kevin Kline,A Fish Called Wanda,1,straight,31,42
0,Best Supporting Actor,Denzel Washington,Glory,1,straight,30,36
1,Best Supporting Actor,Joe Pesci,Good Fellas,1,straight,29,37
1,Best Supporting Actor,Jack Palance,City Slickers,1,straight,28,73
1,Best Supporting Actor,Gene Hackman,Unforgiven,1,straight,27,63
1,Best Supporting Actor,Tommy Lee Jones,The Fugitive,1,straight,26,48
1,Best Supporting Actor,Martin Landau,Ed Wood,1,straight,25,64
1,Best Supporting Actor,Kevin Spacey,The Usual Suspects,1,na,24,37
0,Best Supporting Actor,"Cuba Gooding, Jr.",Jerry Maguire,1,straight,23,38
1,Best Supporting Actor,Robin Williams,Good Will Hunting,1,straight,22,47
1,Best Supporting Actor,James Coburn,Affliction,1,straight,21,71
1,Best Supporting Actor,Michael Caine,The Cider House Rules,0,straight,20,67
0,Best Supporting Actor,Benicio Del Toro,Traffic,0,straight,19,34
1,Best Supporting Actor,Jim Broadbent,Iris,0,straight,18,53
1,Best Supporting Actor,Chris Cooper,Adaptation,1,straight,17,54
1,Best Supporting Actor,Tim Robbins,Mystic River,1,straight,16,46
0,Best Supporting Actor,Morgan Freeman,Million Dollar Baby,1,straight,15,47
1,Best Supporting Actor,George Clooney,Syriana,1,straight,14,48
1,Best Supporting Actor,Alan Arkin,Little Miss Sunshine,1,straight,13,73
0,Best Supporting Actor,Javier Bardem,No Country for Old Men,0,straight,12,74
1,Best Supporting Actor,Heath Ledger,The Dark Knight,0,straight,11,75
1,Best Supporting Actor,Christoph Waltz,Inglourious Basterds,0,straight,10,76
1,Best Supporting Actor,Christian Bale,The Fighter,0,straight,9,37
1,Best Supporting Actor,Christopher Plummer,Beginning,0,straight,8,83
1,Best Supporting Actor,Christoph Waltz,Django Unchained,0,straight,7,84
1,Best Supporting Actor,Jared Leto,Dallas Buyers Club,1,straight,6,43
1,Best Actress,Janet Gaynor,7th Heaven,1,straight,91,-42
1,Best Actress,Mary Pickford,Coquette,0,straight,90,-41
1,Best Actress,Norma Shearer,The Divorcee,0,straight,90,28
1,Best Actress,Marie Dressler,Min and Bill,0,straight,89,29
1,Best Actress,Helen Hayes,The Sin of Madelon Claudet,1,straight,88,32
1,Best Actress,Katharine Hepburn,Morning Glory,1,bisexual,86,27
1,Best Actress,Claudette Colbert,It Happened One Night,0,straight,85,32
1,Best Actress,Bette Davis,Dangerous,1,straight,84,33
1,Best Actress,Luise Rainer,The Great Ziegfeld,0,straight,83,27
1,Best Actress,Luise Rainer,The Good Earth,0,straight,82,28
1,Best Actress,Bette Davis,Jezebel,1,straight,81,29
1,Best Actress,Vivien Leigh,Gone with the Wind,0,straight,80,30
