race,award,winner,movie,birthplace,sexual_orientation,years_since_award,age_at_award
1,Best Supporting Actress,Dianne Wiest,Bullets Over Broadway,1,straight,25,47
1,Best Supporting Actress,Mira Sorvino,Mighty Aphrodite,1,straight,24,29
1,Best Supporting Actress,Juliette Binoche,The English Patient,0,straight,23,30
1,Best Supporting Actress,Kim Basinger,L.A. Confidential,1,straight,22,31
1,Best Supporting Actress,Judi Dench,Shakespeare in Love,0,straight,21,32
1,Best Supporting Actress,Angelina Jolie,"Girl, Interrupted",1,bisexual,20,33
1,Best Supporting Actress,Marcia Gay Harden,Pollock,1,straight,19,42
1,Best Supporting Actress,Jennifer Connelly,A Beautiful Mind,1,straight,18,32
1,Best Supporting Actress,Catherine Zeta-Jones,Chicago,0,straight,17,34
1,Best Supporting Actress,Ren̩e Zellweger,Cold Mountain,1,straight,16,35
1,Best Supporting Actress,Cate Blanchett,The Aviator,0,straight,15,36
1,Best Supporting Actress,Rachel Weisz,The Constant Gardener,0,straight,14,37
0,Best Supporting Actress,Jennifer Hudson,Dreamgirls,1,straight,13,26
1,Best Supporting Actress,Tilda Swinton,Michael Clayton,0,straight,13,26
0,Best Supporting Actress,Penelope Cruz,Vicky Cristina Barcelona,0,straight,11,35
0,Best Supporting Actress,Mo'Nique,Precious,1,straight,10,43
1,Best Supporting Actress,Melissa Leo,The Fighter,1,straight,9,51
0,Best Supporting Actress,Octavia Spencer,The Help,1,na,8,40
1,Best Supporting Actress,Anne Hathaway,Les Mis̩rables,1,straight,7,31
0,Best Supporting Actress,Lupita Nyong'o,12 Years a Slave,0,na,6,32
1,Best Director,Billy Wilder,The Apartment,0,straight,59,55
1,Best Actress,Ginger Rogers,Kitty Foyle,1,straight,79,30
1,Best Actor,Tom Hanks,Philadelphia,1,straight,26,83
1,Best Director,Michael Cimino,The Deer Hunter,1,straight,41,68
1,Best Supporting Actress,Mary Astor,The Great Lie,1,straight,78,31
1,Best Supporting Actress,Angelina Jolie,"Girl, Interrupted",1,bisexual,20,89
1,Best Supporting Actress,Lee Grant,Shampoo,1,straight,44,49
1,Best Supporting Actress,Anne Revere,National Velvet,1,straight,74,43
1,Best Actress,Faye Dunaway,Network,1,straight,43,36
1,Best Supporting Actor,Van Heflin,Johnny Eager,1,straight,77,33
1,Best Actress,Joanne Woodward,The Three Faces of Eve,1,straight,62,28
1,Best Actor,Gary Cooper,High Noon,1,straight,67,23
1,Best Actress,Elizabeth Taylor,Who's Afraid of Virginia Woolf?,0,straight,53,35
1,Best Actress,Hilary Swank,Million Dollar Baby,1,straight,15,31
1,Best Actress,Hilary Swank,Million Dollar Baby,1,straight,15,31
1,Best Actress,Gwyneth Paltrow,Shakespeare in Love,1,straight,21,27
1,Best Supporting Actor,Jack Albertson,The Subject Was Roses,1,na,51,62
0,Best Supporting Actress,Mo'Nique,Precious,1,straight,10,43
1,Best Supporting Actress,Marcia Gay Harden,Pollock,1,straight,19,42
1,Best Actress,Maggie Smith,The Prime of Miss Jean Brodie,0,straight,50,36
1,Best Supporting Actress,Rachel Weisz,The Constant Gardener,0,straight,14,72
1,Best Director,Danny Boyle,Slumdog Millionaire,0,straight,11,53
1,Best Supporting Actor,Jason Robards,All the President's Men,1,straight,43,55
1,Best Supporting Actor,James Coburn,Affliction,1,straight,21,71
1,Best Director,John Huston,The Treasure of the Sierra Madre,1,straight,71,21
